Part Three,1982-02-08,24:17,8.5,0
Part Four,1982-02-09,24:28,8.9,0
Part One,1982-02-15,24:11,9.1,0
Part Two,1982-02-16,24:26,9.3,0
Part Three,1982-02-22,24:24,9.9,0
Part Four,1982-02-23,23:32,10.1,0
Part One,1982-03-01,24:56,9.9,0
Part Two,1982-03-02,24:41,10.1,0
Part One,1982-03-08,24:22,9.1,0
Part Two,1982-03-09,24:23,8.8,0
Part Three,1982-03-15,24:24,9.8,0
Part Four,1982-03-16,24:28,9.6,0
Part One,1982-03-22,24:56,10.0,0
Part Two,1982-03-23,23:58,8.5,0
Part Three,1982-03-29,24:29,8.9,0
Part Four,1982-03-30,24:30,8.1,0
Part One,1983-01-03,24:37,7.2,69
Part Two,1983-01-05,24:42,7.3,70
Part Three,1983-01-11,24:37,6.9,67
Part Four,1983-01-12,24:28,7.2,66
Part One,1983-01-18,24:26,6.7,65
Part Two,1983-01-19,24:35,7.7,66
Part Three,1983-01-25,24:29,6.6,67
Part Four,1983-01-26,24:29,7.4,67
Part One,1983-02-01,24:03,6.5,67
Part Two,1983-02-02,24:33,7.5,70
Part Three,1983-02-08,24:32,7.4,67
Part Four,1983-02-09,24:33,7.7,68
Part One,1983-02-15,24:58,6.8,65
Part Two,1983-02-16,24:40,7.5,67
Part Three,1983-02-22,24:39,6.5,64
Part Four,1983-02-23,24:49,7.4,67
Part One,1983-03-01,24:12,6.6,67
Part Two,1983-03-02,24:23,7.2,65
Part Three,1983-03-08,24:38,6.2,68
Part Four,1983-03-09,24:34,7.3,70
Part One,1983-03-15,24:48,5.8,65
Part Two,1983-03-16,24:27,7.2,63
The Five Doctors,1983-11-25,90:23,7.7,75
Part One,1984-01-05,24:48,7.6,65
Part Two,1984-01-06,24:04,7.5,64
